SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,DAYS_EMPLOYED_ANOM,DAYS_EMPLOYED_PERCENT,INCOME_CREDIT_PER,ANNUITY_INCOME_PERCENT,CREDIT_TERM,GOODS_PRICE_CREDIT_PER,GOODS_PRICE_AMT_ANNUITY_PER,AMT_CREDIT_DAYS_EMPLOYED_PERC,Amount_INCOME,Amount_ANNUITY,Amount_CREDIT,Amount_GOODS
100001,Cash loans,F,N,Y,135000.0,568800.0,20560.5,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.01885,19241,-2329.0,-5170.0,-812,9.0,1,0,0,Laborers,2,2,TUESDAY,18,0,0,0,0.7526144906031748,0.7896543511176771,0.1595195404777181,0.9732,-1740.0,1,0,False,-0.1210436048022452,0.2373417721518987,6.5659881812212735,0.0361471518987341,1.264,0.04569,-0.0040945850914205,11.813030057420567,9.931127038339543,13.251284157471169,13.017002861746503
100005,Cash loans,M,N,Y,99000.0,222768.0,17370.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,18064,-4469.0,-9118.0,-1623,9.0,1,0,0,Low-skill Laborers,2,2,FRIDAY,9,0,0,0,0.5649902017969249,0.2916555320093651,0.4329616670974407,0.9816,0.0,1,0,False,-0.2473981399468556,0.4444085326438267,5.699481865284974,0.0779734970911441,1.2376,0.0965,-0.0200612296200531,11.502875129116727,9.76249985923515,12.313886150149068,12.100712129872347
100028,Cash loans,F,N,Y,315000.0,1575000.0,49018.5,1575000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,13976,-1866.0,-2000.0,-4208,9.0,1,0,1,Sales staff,2,2,WEDNESDAY,11,0,0,0,0.5257339776824489,0.5096770801723647,0.6127042441012546,0.997,-1805.0,1,0,False,-0.1335145964510589,0.2,6.426145230882218,0.0311228571428571,1.0,0.0311228571428571,-0.0011847619047619,12.66032791780777,10.79995305685872,14.269765830241871,14.269765830241871
100038,Cash loans,M,Y,N,180000.0,625500.0,32067.0,625500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,13040,-2191.0,-4000.0,-4262,16.0,1,1,0,Laborers,2,2,FRIDAY,5,0,1,1,0.202144992067999,0.4256872940912229,0.5190973382084597,0.9816,-821.0,1,0,False,-0.168021472392638,0.2877697841726618,5.613247263541959,0.0512661870503597,1.0,0.0512661870503597,-0.0035027977617905,12.100712129872347,10.375582742942056,13.346306608889105,13.346306608889105
100042,Cash loans,F,Y,Y,270000.0,959688.0,34600.5,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.025164,18604,-12009.0,-6116.0,-2027,10.0,1,0,1,Drivers,2,2,MONDAY,15,0,0,0,0.5064420471955186,0.6289043246811542,0.3927738606031339,0.9821,-1705.0,0,0,False,-0.6455063427219953,0.2813414359666892,7.803355442840421,0.0360539050191312,1.1848,0.0427166666666666,-0.0125134418686072,12.506177237980513,10.451623411808455,13.774363510620072,13.604789526648622
100057,Cash loans,M,Y,Y,180000.0,499221.0,22117.5,373500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,16685,-2580.0,-10125.0,-241,3.0,1,0,0,High skill tech staff,2,2,THURSDAY,9,0,1,1,0.7608510178380521,0.57108420610083,0.6512602186973006,0.9816,-1182.0,1,0,False,-0.1546299071021876,0.3605617552146243,8.138351983723297,0.0443040256719969,1.3366024096385545,0.0592168674698795,-0.0051680518247429,12.100712129872347,10.00412442935754,13.120804162460242,12.83067328355501
100065,Cash loans,M,N,Y,166500.0,180000.0,14220.0,180000.0,Unaccompanied,Working,Higher education,Single / not married,With parents,0.005144,9516,-1387.0,-5063.0,-2055,9.0,1,1,1,Core staff,2,2,FRIDAY,7,0,0,0,0.5652899888198399,0.6130330592407085,0.3123653692278984,0.9816,-1182.0,0,0,False,-0.1457545187053383,0.925,11.708860759493673,0.079,1.0,0.079,-0.0077055555555555,12.022750588402635,9.562404703357233,12.100712129872347,12.100712129872347
100066,Cash loans,F,N,Y,315000.0,364896.0,28957.5,315000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.04622,12744,-1013.0,-1686.0,-3171,9.0,1,0,0,Core staff,1,1,THURSDAY,18,0,0,0,0.7185074765991686,0.8087877917779122,0.5226973172821112,0.9781,-829.0,1,0,False,-0.0794883866917765,0.8632596685082873,10.878010878010878,0.0793582280978689,1.1584,0.0919285714285714,-0.0027761334736472,12.66032791780777,10.2735845168065,12.807367660457086,12.66032791780777
100067,Cash loans,F,Y,Y,162000.0,45000.0,5337.0,45000.0,Family,Working,Higher education,Civil marriage,House / apartment,0.018634,10395,-2625.0,-8124.0,-3041,5.0,1,1,1,Sales staff,2,2,TUESDAY,14,0,0,0,0.2105622076337031,0.4448475614048825,0.1940678276718812,0.9816,-1423.0,1,0,False,-0.2525252525252525,3.6,30.354131534569984,0.1186,1.0,0.1186,-0.0583333333333333,11.99535161421452,8.582418976333944,10.714417768752456,10.714417768752456
100074,Cash loans,F,N,Y,67500.0,675000.0,25447.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0031219999999999,23670,-1765.0,-7490.0,-4136,9.0,0,0,1,Laborers,3,3,TUESDAY,11,0,0,0,0.5064420471955186,0.6600149063064604,0.2985949897873972,0.9781,-1671.0,1,0,True,-0.074566962399662,0.1,2.6525198938992043,0.0377,1.0,0.0377,-0.0026148148148148,11.119882876860622,10.144372785326494,13.422467969854669,13.422467969854669
